1990,50,4.5,-3.5,-7.2,-1.9,-7.8,5.6,563,-36
1990,50,2.8,-8.6,-1.4,-8,-3.5,6,591,-57
1990,50,5.6,-4.3,-2.4,-3.4,-3.5,5.5,574,-50
1990,50,5.7,-4.5,-1.3,-3.8,-2.7,4.4,591,-53
1990,51,8.1,-0.1,-1.6,0.4,-1.5,4.9,501,-52
1990,51,5,-1.8,-5.4,-0.2,-5.7,5,535,-51
1990,51,4.9,-4,-1.2,-3.6,-2.1,5.1,546,-60
1990,51,4.2,-4.8,-1.4,-4.4,-2.4,4.2,602,-54
1990,51,2.7,-6,-1.7,-5.6,-2.8,4,609,-46
1990,51,3.5,-4.3,1.1,-4.4,0.3,4.3,607,-51
1990,51,3.8,-4.7,2.2,-5,1.4,4.1,598,-48
1990,51,4.2,-0.7,-3.3,-0.1,-3.4,3.8,585,-42
1990,51,4.6,-2.9,-4.1,-2,-4.6,3.7,584,-46
1990,51,5,-3.1,-1.3,-2.5,-2.3,6.9,604,-33
1990,51,3.7,-6.1,-0.6,-5.4,-2.9,7.2,628,-37
1990,51,3.4,-6.3,0.1,-5.7,-2.6,7.2,622,-44
1990,51,5.2,-6.1,-2,-4.5,-4.6,6.3,585,-54
1990,51,3.6,-7,-1.3,-5.4,-4.6,5.9,597,-56
1990,51,4.1,-7.1,1.7,-7,-2.2,6.5,598,-70
1990,51,3.7,-7.2,4,-8.2,-0.4,6.3,603,-71
1990,51,1.9,-9.2,1.2,-8.4,-3.9,5.6,612,-66
1990,52,1.9,-9.2,1.9,-8.8,-3.2,5.4,596,-67
1990,52,5.2,-1.2,-0.7,-1,-0.9,4.1,502,-28
1990,52,1.9,-3.4,1.6,-3.7,0.7,4.3,540,-24
1990,52,2.9,-1.2,3.5,-2.2,3,4.5,527,-26
1990,52,3.8,0.5,3.8,-0.8,3.7,4.7,520,-25
1990,52,5,-2.2,-0.3,-1.9,-1.1,4.6,505,-31
1990,52,4,-2.1,1,-2.3,0,4.8,510,-40
